match_id,season,date,gameweek,home_team,away_team,is_home,home_aerial_duels_lost,home_carries,home_carries_final_third,home_carries_penalty_area,home_carry_distance,home_completed_passes_types,home_corner_kicks,home_crosses_faced,home_goal_kick_launch_percentage,home_goal_kicks_attempted,home_goalkeeper_long_passes_attempted,home_key_passes,home_launch_percentage,home_live_ball_passes,home_long_pass_completion_rate,home_medium_passes_attempted,home_medium_passes_completed,home_pass_completion_rate,home_passes_attempted,home_passes_completed,home_passes_final_third,home_passes_penalty_area,home_passes_received,home_progressive_carries,home_progressive_carry_distance,home_progressive_pass_distance,home_progressive_passes,home_progressive_passes_received_detail,home_sca_pass_dead,home_sca_pass_live,home_sca_shot,home_sca_take_on,home_short_pass_completion_rate,home_short_passes_attempted,home_short_passes_completed,home_shot_creating_actions_per_90,home_shots_on_target_per_90,home_shots_per_90,home_through_balls,home_total_pass_distance,home_touches,home_touches_att_penalty,home_touches_att_third,home_touches_live_ball,home_touches_mid_third,away_aerial_duels_lost,away_carries,away_carries_final_third,away_carries_penalty_area,away_carry_distance,away_completed_passes_types,away_corner_kicks,away_crosses_faced,away_goal_kick_launch_percentage,away_goal_kicks_attempted,away_goalkeeper_long_passes_attempted,away_key_passes,away_launch_percentage,away_live_ball_passes,away_long_pass_completion_rate,away_medium_passes_attempted,away_medium_passes_completed,away_pass_completion_rate,away_passes_attempted,away_passes_completed,away_passes_final_third,away_passes_penalty_area,away_passes_received,away_progressive_carries,away_progressive_carry_distance,away_progressive_pass_distance,away_progressive_passes,away_progressive_passes_received_detail,away_sca_pass_dead,away_sca_pass_live,away_sca_shot,away_sca_take_on,away_short_pass_completion_rate,away_short_passes_attempted,away_short_passes_completed,away_shot_creating_actions_per_90,away_shots_on_target_per_90,away_shots_per_90,away_through_balls,away_total_pass_distance,away_touches,away_touches_att_penalty,away_touches_att_third,away_touches_live_ball,away_touches_mid_third,home_shot_accuracy,away_shot_accuracy,home_sca_per_shot,away_sca_per_shot,home_carry_efficiency,away_carry_efficiency,match_outcome,home_goals,away_goals,attack_advantage,sca_differential,home_tier_Mid-Table,home_tier_Relegation,home_tier_Top 4,away_tier_Mid-Table,away_tier_Relegation,away_tier_Top 4
2020-2021_GW1_Fulham_vs_Arsenal,2020-2021,2020-09-12,1.0,Fulham,Arsenal,1,625,13406,525,156,74278,15401,164,518,55.0,258,402,334,32.5,17703,53.3,7611,6528,78.9,19512,15401,1019,290,15290,727,37380,94395,1354,1338,65,579,35,53,87.4,7837,6853,20.66,3.29,11.47,17,270640,23810,728,5567,23804,10438,594,15532,499,195,83176,18041,207,518,55.5,238,303,332,16.7,20122,55.4,8814,7770,82.7,21807,18041,1377,325,17924,758,45081,93540,1760,1748,44,623,45,49,90.1,9236,8319,21.39,3.68,11.92,34,306094,25431,910,6240,25425,11384,0.286697247706422,0.3090507726269316,1.8004587155963303,1.794701986754967,0.05422944950022378,0.04880247231522019,Away Win,0.0,3.0,-0.3900000000000001,-0.7300000000000004,0,1,0,1,0,0
2020-2021_GW1_CrystalPal_vs_Southampto,2020-2021,2020-09-12,1.0,Crystal Palace,Southampton,1,658,10227,388,151,56545,11627,151,622,84.8,323,669,264,51.0,13707,46.2,5088,4127,74.5,15597,11627,838,232,11525,526,26885,81274,1132,1113,54,433,23,52,85.6,6882,5889,16.26,3.34,9.08,8,193706,19798,653,4410,19794,8697,713,12535,517,126,66172,14928,177,507,61.0,236,569,294,38.4,17388,43.1,6690,5629,77.4,19288,14928,894,261,14818,626,33536,85450,1195,1190,63,513,47,42,87.6,8659,7587,19.16,4.13,11.0,16,239028,23607,698,4756,23601,11566,0.3681159420289855,0.37559808612440193,1.791304347826087,1.7416267942583732,0.05143248264398162,0.049940167530913446,Home Win,1.0,0.0,-0.79,-2.8999999999999986,1,0,0,1,0,0
2020-2021_GW1_Liverpool_vs_LeedsUnite,2020-2021,2020-09-12,1.0,Liverpool,Leeds United,1,572,19103,754,249,96220,21929,257,403,26.8,209,237,455,16.4,24396,57.8,9940,8747,83.6,26226,21929,1608,524,21796,886,50778,115400,2057,2041,71,818,61,58,91.0,11862,10789,28.11,5.37,15.84,44,360990,30073,1211,8242,30067,14867,605,14066,491,158,80443,16284,229,477,32.2,298,319,394,19.1,18658,54.1,8308,7130,78.9,20629,16284,1110,349,16154,811,44866,99274,1633,1625,73,701,63,45,87.9,7933,6970,24.32,5.08,13.63,27,286488,24873,880,5695,24869,10345,0.3388704318936877,0.37258687258687256,1.7740863787375416,1.7837837837837838,0.0463801497147045,0.05765676098393289,Home Win,4.0,3.0,0.29000000000000004,3.789999999999999,0,0,1,1,0,0
2020-2021_GW1_WestHam_vs_NewcastleU,2020-2021,2020-09-12,1.0,West Ham,Newcastle Utd,1,677,10964,455,152,63242,12725,167,565,74.3,296,648,340,54.9,15140,51.4,6052,4948,75.3,16901,12725,1037,238,12609,659,30419,88791,1282,1264,92,576,56,37,85.8,6864,5888,21.66,4.16,12.21,15,225666,20812,761,5062,20808,9343,655,9605,376,114,51309,10839,161,645,70.4,338,671,289,52.8,12864,48.2,5131,4197,73.7,14709,10839,739,207,10730,467,24707,77098,903,888,85,454,36,51,85.7,5635,4828,18.11,3.42,10.26,12,197161,18774,552,3941,18767,7894,0.34051724137931033,0.3333333333333333,1.7737068965517242,1.764102564102564,0.06010580080262678,0.04862051015096304,Away Win,0.0,2.0,0.7400000000000002,3.5500000000000007,1,0,0,1,0,0
2020-2021_GW1_WestBrom_vs_LeicesterC,2020-2021,2020-09-13,1.0,West Brom,Leicester City,1,771,8262,283,103,44784,9769,144,670,86.7,308,916,241,63.7,12147,43.5,4783,3696,69.9,13978,9769,822,196,9668,441,21527,75746,1027,1017,60,407,27,26,83.7,5278,4418,14.95,2.79,8.82,13,177501,18248,578,4238,18243,7517,590,13991,481,141,72245,17014,212,484,43.8,210,425,360,32.1,19423,53.4,8113,7010,80.2,21216,17014,1209,283,16883,666,37072,94092,1464,1455,49,635,46,56,87.9,8978,7893,22.71,4.47,12.45,35,285395,25366,772,5675,25354,11997,0.3164179104477612,0.3594080338266385,1.6955223880597015,1.824524312896406,0.05337690631808279,0.04760202987634908,Away Win,0.0,3.0,-1.6799999999999997,-7.760000000000002,0,1,0,1,0,0
2020-2021_GW1_Tottenham_vs_Everton,2020-2021,2020-09-13,1.0,Tottenham,Everton,1,647,13842,506,152,73058,16508,168,590,35.6,264,408,316,38.6,18738,52.1,7603,6561,80.2,20571,16508,1035,257,16404,633,37183,94098,1330,1316,55,553,49,56,88.4,8828,7801,20.68,4.39,11.53,28,274912,24670,700,4997,24665,11935,486,12603,443,105,70612,14792,167,560,63.5,271,692,300,47.6,17021,54.0,7073,6125,79.1,18696,14792,944,257,14706,604,36337,93921,1184,1177,67,514,43,34,88.2,7438,6563,18.68,3.76,10.39,28,263227,22845,643,4585,22840,10258,0.3812785388127854,0.3620253164556962,1.7945205479452055,1.7974683544303798,0.045730385782401385,0.047925097199079586,Away Win,0.0,1.0,0.6299999999999999,2.0,1,0,0,1,0,0
2020-2021_GW1_SheffieldU_vs_Wolves,2020-2021,2020-09-14,1.0,Sheffield Utd,Wolves,1,798,10178,398,104,54344,12146,170,578,91.8,281,817,253,64.5,14542,45.0,5303,4331,74.7,16264,12146,946,253,12037,491,27029,78589,1196,1183,48,435,29,27,87.0,6905,6006,14.92,2.42,8.39,13,207510,20351,615,5537,20347,8599,596,13271,566,177,72782,15548,208,577,54.2,275,389,345,43.1,17437,59.2,7342,6320,80.9,19225,15548,1117,213,15405,800,38571,93014,1283,1266,74,572,47,68,89.7,7796,6990,21.61,3.92,12.08,20,275061,23262,695,5207,23258,11021,0.2884012539184953,0.32461873638344224,1.7774294670846396,1.7886710239651415,0.04824130477500491,0.06028181749679753,Away Win,0.0,2.0,-1.5,-6.6899999999999995,0,1,0,1,0,0
2020-2021_GW1_Brighton_vs_Chelsea,2020-2021,2020-09-14,1.0,Brighton,Chelsea,1,574,13491,468,131,73653,15772,219,476,47.6,233,522,358,32.1,18111,54.7,7960,6893,79.4,19871,15772,1132,358,15634,685,37608,95248,1516,1495,75,628,55,34,87.5,7654,6694,22.29,3.53,12.58,17,283213,23756,885,5828,23747,10231,515,17523,663,243,90661,21969,226,412,27.7,231,253,448,17.7,24055,61.7,9976,8965,85.2,25799,21969,1441,377,21851,895,48291,112392,1798,1787,81,790,55,42,91.3,11454,10454,26.79,5.08,14.37,29,360450,29889,1017,7308,29879,13917,0.2803347280334728,0.3534798534798535,1.7719665271966527,1.8644688644688645,0.05077459046771922,0.051075729041830734,Away Win,1.0,3.0,-1.5500000000000003,-4.5,1,0,0,0,0,1
2020-2021_GW2_Everton_vs_WestBrom,2020-2021,2020-09-19,2.0,Everton,West Brom,1,486,12603,443,105,70612,14792,167,560,63.5,271,692,300,47.6,17021,54.0,7073,6125,79.1,18696,14792,944,257,14706,604,36337,93921,1184,1177,67,514,43,34,88.2,7438,6563,18.68,3.76,10.39,28,263227,22845,643,4585,22840,10258,771,8262,283,103,44784,9769,144,670,86.7,308,916,241,63.7,12147,43.5,4783,3696,69.9,13978,9769,822,196,9668,441,21527,75746,1027,1017,60,407,27,26,83.7,5278,4418,14.95,2.79,8.82,13,177501,18248,578,4238,18243,7517,0.3620253164556962,0.3164179104477612,1.7974683544303798,1.6955223880597015,0.047925097199079586,0.05337690631808279,Home Win,5.0,2.0,0.9699999999999998,3.7300000000000004,1,0,0,0,1,0
2020-2021_GW2_LeedsUnite_vs_Fulham,2020-2021,2020-09-19,2.0,Leeds United,Fulham,1,605,14066,491,158,80443,16284,229,477,32.2,298,319,394,19.1,18658,54.1,8308,7130,78.9,20629,16284,1110,349,16154,811,44866,99274,1633,1625,73,701,63,45,87.9,7933,6970,24.32,5.08,13.63,27,286488,24873,880,5695,24869,10345,625,13406,525,156,74278,15401,164,518,55.0,258,402,334,32.5,17703,53.3,7611,6528,78.9,19512,15401,1019,290,15290,727,37380,94395,1354,1338,65,579,35,53,87.4,7837,6853,20.66,3.29,11.47,17,270640,23810,728,5567,23804,10438,0.37258687258687256,0.286697247706422,1.7837837837837838,1.8004587155963303,0.05765676098393289,0.05422944950022378,Home Win,4.0,3.0,1.79,3.66,1,0,0,0,1,0
