stat,source,r,p,abs_r,sig
OPP_shots_on_target,opponent,0.851714233642066,2.9396417256980096e-29,0.851714233642066,***
OPP_shots_on_target_per_90,opponent,0.851418980999294,3.216451170502813e-29,0.851418980999294,***
OPP_touches_att_penalty,opponent,0.7932957518339558,7.661724076575734e-23,0.7932957518339558,***
OPP_key_passes,opponent,0.7909700259186425,1.2475117532785855e-22,0.7909700259186425,***
OPP_shots_per_90,opponent,0.7907777902277229,1.2984473101465912e-22,0.7907777902277229,***
OPP_shots,opponent,0.7906991454936337,1.3198641013557704e-22,0.7906991454936337,***
OPP_shot_creating_actions,opponent,0.7898788066430754,1.5648004731406809e-22,0.7898788066430754,***
OPP_shot_creating_actions_per_90,opponent,0.7898605473415103,1.570727218638478e-22,0.7898605473415103,***
OPP_sca_pass_live,opponent,0.7545423527628023,1.2508052487344864e-19,0.7545423527628023,***
OPP_passes_penalty_area,opponent,0.7533208779789689,1.5441333678736437e-19,0.7533208779789689,***
OPP_touches_att_third,opponent,0.7005780857980016,4.92599273793609e-16,0.7005780857980016,***
OPP_corner_kicks,opponent,0.6868103967777657,3.0510653017153612e-15,0.6868103967777657,***
OPP_progressive_passes,opponent,0.6799973906234337,7.251749770709392e-15,0.6799973906234337,***
OPP_progressive_passes_received_detail,opponent,0.6784552034726435,8.793362225608154e-15,0.6784552034726435,***
OPP_progressive_pass_distance,opponent,0.6724577507031622,1.840526310364645e-14,0.6724577507031622,***
OPP_sca_take_on,opponent,0.6676506316713244,3.286408601505519e-14,0.6676506316713244,***
OPP_carries_penalty_area,opponent,0.6591034600434001,8.976104667684498e-14,0.6591034600434001,***
OPP_passes_final_third,opponent,0.651255012632241,2.1955301259170661e-13,0.651255012632241,***
OPP_sca_pass_dead,opponent,0.6509469525825248,2.2727666039221353e-13,0.6509469525825248,***
OPP_sca_shot,opponent,0.6386864283889367,8.718939811181515e-13,0.6386864283889367,***
OPP_touches,opponent,0.6211180611443532,5.407416861967195e-12,0.6211180611443532,***
OPP_touches_live_ball,opponent,0.6208990175786792,5.527890078738654e-12,0.6208990175786792,***
OPP_total_pass_distance,opponent,0.6152147780666364,9.73444693544901e-12,0.6152147780666364,***
OPP_medium_passes_attempted,opponent,0.6151731266736002,9.77448474632891e-12,0.6151731266736002,***
OPP_carries,opponent,0.6126590001818639,1.2508649016469897e-11,0.6126590001818639,***
OPP_medium_passes_completed,opponent,0.6076811913761868,2.0254728104726507e-11,0.6076811913761868,***
OPP_passes_completed,opponent,0.6073022650058453,2.1004457077200436e-11,0.6073022650058453,***
OPP_completed_passes_types,opponent,0.6073022650058453,2.1004457077200436e-11,0.6073022650058453,***
OPP_passes_received,opponent,0.6063705165920185,2.2963441363576608e-11,0.6063705165920185,***
OPP_passes_attempted,opponent,0.6028478785024362,3.208602674254495e-11,0.6028478785024362,***
OPP_short_passes_attempted,opponent,0.5980347832893287,5.034645836327196e-11,0.5980347832893287,***
OPP_live_ball_passes,opponent,0.5968472856500208,5.6200842383027506e-11,0.5968472856500208,***
OPP_touches_def_penalty,opponent,-0.5896780661689212,1.081590345388892e-10,0.5896780661689212,***
OPP_goal_kicks_attempted,opponent,-0.5873573265716733,1.3323424242641356e-10,0.5873573265716733,***
OPP_short_passes_completed,opponent,0.5871672810529099,1.3551880849575635e-10,0.5871672810529099,***
OPP_carry_distance,opponent,0.5804940565563187,2.444956455345576e-10,0.5804940565563187,***
OPP_progressive_carries,opponent,0.5803431324289061,2.477423904443198e-10,0.5803431324289061,***
OPP_shots_blocked,opponent,-0.5745757885354221,4.080958293805197e-10,0.5745757885354221,***
OPP_touches_mid_third,opponent,0.5699762090003424,6.034588776446977e-10,0.5699762090003424,***
OPP_crosses_penalty_area,opponent,0.5649746119105876,9.171492047862003e-10,0.5649746119105876,***
OPP_crosses_misc,opponent,0.5591847001736244,1.4761837093931366e-09,0.5591847001736244,***
OPP_crosses,opponent,0.5591847001736244,1.4761837093931366e-09,0.5591847001736244,***
OPP_progressive_carry_distance,opponent,0.547690284106798,3.697853267587682e-09,0.547690284106798,***
OPP_long_pass_completion_rate,opponent,0.5421211267558462,5.699358719385687e-09,0.5421211267558462,***
OPP_inswinging_corners,opponent,0.534344253918289,1.0292667362273243e-08,0.534344253918289,***
OPP_carries_final_third,opponent,0.5199182245169237,2.9640541845416984e-08,0.5199182245169237,***
OPP_tackles_att_third,opponent,0.5188533615953184,3.198549326319624e-08,0.5188533615953184,***
OPP_crosses_faced,opponent,-0.4751476096753324,5.879475052486451e-07,0.4751476096753324,***
OPP_pass_completion_rate,opponent,0.47423687090407657,6.220996656731521e-07,0.47423687090407657,***
OPP_goalkeeper_long_passes_attempted,opponent,-0.4542010544209055,2.069201240298812e-06,0.4542010544209055,***
OPP_launch_percentage,opponent,-0.4479267758791408,2.968660631074639e-06,0.4479267758791408,***
OPP_aerial_duel_success_rate,opponent,0.4443897153792574,3.627177426707895e-06,0.4443897153792574,***
OPP_penalty_kicks_conceded,opponent,-0.436386026115753,5.660984008693687e-06,0.436386026115753,***
OPP_penalty_kicks_attempted_against,opponent,-0.436386026115753,5.660984008693687e-06,0.436386026115753,***
OPP_take_ons_attempted,opponent,0.4357571823021286,5.859688960104892e-06,0.4357571823021286,***
OPP_long_passes_completed,opponent,0.43547978944294946,5.949413540818807e-06,0.43547978944294946,***
OPP_average_pass_length,opponent,-0.41670794679814505,1.6138346019084943e-05,0.41670794679814505,***
OPP_penalty_kicks_against,opponent,-0.41455813141371406,1.8024476230681997e-05,0.41455813141371406,***
OPP_penalty_goals_against,opponent,-0.41455813141371406,1.8024476230681997e-05,0.41455813141371406,***
OPP_take_ons_tackled,opponent,0.41182781774005434,2.0718425926880243e-05,0.41182781774005434,***
OPP_sca_fouled,opponent,0.41036197470893593,2.231609911051119e-05,0.41036197470893593,***
OPP_outswinging_corners,opponent,0.40899439138714877,2.3910113108770125e-05,0.40899439138714877,***
OPP_clearances,opponent,-0.40502852702454917,2.9156619355384186e-05,0.40502852702454917,***
OPP_aerial_duels_won,opponent,0.39986035127463193,3.761724151503435e-05,0.39986035127463193,***
OPP_through_balls,opponent,0.39904565161803257,3.914382713271036e-05,0.39904565161803257,***
OPP_throw_ins,opponent,0.39336603795761416,5.150618615739452e-05,0.39336603795761416,***
OPP_average_distance_defensive_actions,opponent,0.3840069299733656,8.009310495805986e-05,0.3840069299733656,***
OPP_goalkeeper_long_passes_completed,opponent,-0.37681655304702905,0.00011143518760851898,0.37681655304702905,***
OPP_tackles_mid_third,opponent,0.36735239975839173,0.00017013128391134554,0.36735239975839173,***
OPP_corner_kick_goals_against,opponent,-0.3665826997239314,0.00017598758632467326,0.3665826997239314,***
OPP_tackle_success_rate,opponent,0.35977784169054033,0.00023650000104761363,0.35977784169054033,***
OPP_average_shot_distance,opponent,-0.3562982230194627,0.00027438831612288105,0.3562982230194627,***
OPP_blocked_passes,opponent,0.3527038728699527,0.0003193436521632637,0.3527038728699527,***
OPP_dispossessed,opponent,0.34523161807856767,0.00043528013826432254,0.34523161807856767,***
OPP_dead_ball_passes,opponent,0.3449587484244441,0.00044016778586645816,0.3449587484244441,***
OPP_tackles_def_third,opponent,-0.34035675185717595,0.000530574501870229,0.34035675185717595,***
OPP_fouls_drawn,opponent,0.3387083049276517,0.0005668995072982166,0.3387083049276517,***
OPP_medium_pass_completion_rate,opponent,0.33657388726281917,0.0006173199734846215,0.33657388726281917,***
OPP_sca_defense,opponent,0.33196611917983093,0.0007404584748101448,0.33196611917983093,***
OPP_interceptions,opponent,-0.33008074895481054,0.0007970240576192866,0.33008074895481054,***
OPP_goal_kick_launch_percentage,opponent,-0.3167210385240447,0.0013252076036814773,0.3167210385240447,**
OPP_blocks,opponent,-0.3036473132414877,0.0021323320361303494,0.3036473132414877,**
OPP_cross_stop_percentage,opponent,0.3026393030686145,0.002210035080223585,0.3026393030686145,**
OPP_penalty_kicks_won,opponent,0.2931909866688622,0.0030724362394008993,0.2931909866688622,**
OPP_goal_kick_average_length,opponent,-0.2888046663986114,0.0035671275136918102,0.2888046663986114,**
OPP_free_kick_shots,opponent,0.27918938997452314,0.004908829286390975,0.27918938997452314,**
OPP_touches_def_third,opponent,-0.2739218840804751,0.005820333582567293,0.2739218840804751,**
OPP_take_ons_successful,opponent,0.27240295610768617,0.006109686435787593,0.27240295610768617,**
OPP_challenges_lost,opponent,-0.2524746734522689,0.011270393455950744,0.2524746734522689,*
OPP_defensive_actions_outside_penalty_area_per_90,opponent,0.24620705401813311,0.013539562845378498,0.24620705401813311,*
OPP_defensive_actions_outside_penalty_area,opponent,0.24614430744229554,0.01356415560442847,0.24614430744229554,*
OPP_long_passes_attempted,opponent,0.23368214465896112,0.01928695070174965,0.23368214465896112,*
OPP_penalty_kicks_missed_by_opponent,opponent,-0.23163857120399955,0.02040063004855446,0.23163857120399955,*
OPP_short_pass_completion_rate,opponent,0.2286413706034391,0.022133690355642357,0.2286413706034391,*
OPP_free_kick_passes,opponent,0.22573345230675698,0.023934115131300306,0.22573345230675698,*
OPP_errors,opponent,-0.21034092722595807,0.03568271494247621,0.21034092722595807,*
OPP_ball_recoveries,opponent,0.2048327018442414,0.040923515569795246,0.2048327018442414,*
OPP_switches,opponent,0.2039443530966916,0.041826084128355014,0.2039443530966916,*
OPP_shot_accuracy,opponent,0.18979641848433115,0.05858008169227247,0.18979641848433115,ns
OPP_own_goals,opponent,-0.17881455019728476,0.07506939253722535,0.17881455019728476,ns
OPP_own_goals_for,opponent,-0.17881455019728476,0.07506939253722535,0.17881455019728476,ns
