stat,r,p,abs_r,category,sig
goal_difference,0.9119816984636462,1.0498749908733176e-39,0.9119816984636462,other,***
points,0.8893918719263861,4.3684874583515493e-35,0.8893918719263861,other,***
shots_on_target_per_90,0.8892548228507947,4.6259816214150646e-35,0.8892548228507947,attacking_output,***
shots_on_target,0.8891977504581524,4.7375328080081093e-35,0.8891977504581524,attacking_output,***
final_position,-0.845265226559652,2.0100021237497609e-28,0.845265226559652,other,***
touches_att_penalty,0.8377212441939443,1.7092940866167886e-27,0.8377212441939443,possession,***
shot_creating_actions,0.8336665421379879,5.164636357996858e-27,0.8336665421379879,attacking_output,***
shot_creating_actions_per_90,0.8336263837913822,5.2207295219645336e-27,0.8336263837913822,attacking_output,***
sca_pass_live,0.8196863445725496,1.882382309388053e-25,0.8196863445725496,creativity,***
shots_per_90,0.8196008898922124,1.9223625601265912e-25,0.8196008898922124,attacking_output,***
shots,0.8195871206172486,1.9288815254022589e-25,0.8195871206172486,attacking_output,***
key_passes,0.8122289847403701,1.1312740033371381e-24,0.8122289847403701,creativity,***
passes_penalty_area,0.8022030653320904,1.1160961775084531e-23,0.8022030653320904,other,***
progressive_passes,0.8017967491979635,1.2211984897612378e-23,0.8017967491979635,passing,***
progressive_passes_received_detail,0.8011807545390562,1.399162384432346e-23,0.8011807545390562,passing,***
passes_final_third,0.7815022554593759,8.530926443695813e-22,0.7815022554593759,other,***
touches_att_third,0.7659365894480624,1.6486954895199744e-20,0.7659365894480624,possession,***
carries_penalty_area,0.7561766816664727,9.417374433248667e-20,0.7561766816664727,other,***
progressive_pass_distance,0.7256778938809884,1.3380119700384453e-17,0.7256778938809884,passing,***
corner_kicks,0.7225749690517782,2.134574786079818e-17,0.7225749690517782,creativity,***
total_pass_distance,0.7187454982705167,3.766264449704106e-17,0.7187454982705167,passing,***
medium_passes_attempted,0.7178581129581382,4.290161829732238e-17,0.7178581129581382,other,***
passes_completed,0.7160995254169416,5.545390788807756e-17,0.7160995254169416,other,***
completed_passes_types,0.7160995254169416,5.545390788807756e-17,0.7160995254169416,other,***
crosses_faced,-0.7159441731775402,5.672022559599054e-17,0.7159441731775402,creativity,***
passes_received,0.7144577713114986,7.034456539026465e-17,0.7144577713114986,other,***
medium_passes_completed,0.7141070267032135,7.39955318695864e-17,0.7141070267032135,other,***
progressive_carries,0.7134773854601993,8.101615746986551e-17,0.7134773854601993,ball_progression,***
carries,0.7107145508692908,1.2024557545590728e-16,0.7107145508692908,other,***
passes_attempted,0.7106686197307269,1.210328510763577e-16,0.7106686197307269,other,***
live_ball_passes,0.7106207346906209,1.2185894148372205e-16,0.7106207346906209,other,***
progressive_carry_distance,0.7091070630343449,1.5098446057076054e-16,0.7091070630343449,ball_progression,***
carry_distance,0.7060086986032292,2.3313745212177314e-16,0.7060086986032292,ball_progression,***
touches,0.7058427174210378,2.385892186164645e-16,0.7058427174210378,possession,***
touches_live_ball,0.7056846964269947,2.438943150700817e-16,0.7056846964269947,possession,***
short_passes_completed,0.6991611274182962,5.971291411478406e-16,0.6991611274182962,other,***
short_passes_attempted,0.6977403726804768,7.23401532043362e-16,0.6977403726804768,other,***
carries_final_third,0.6857442451901357,3.499158796622283e-15,0.6857442451901357,other,***
touches_mid_third,0.6776120220681433,9.765849502582267e-15,0.6776120220681433,possession,***
long_pass_completion_rate,0.675830049496825,1.217564581232959e-14,0.675830049496825,passing,***
sca_shot,0.6734827943075259,1.624221740247504e-14,0.6734827943075259,attacking_output,***
pass_completion_rate,0.6603161166753766,7.798977153067971e-14,0.6603161166753766,passing,***
goal_kicks_attempted,-0.6595525543548837,8.521406359131651e-14,0.6595525543548837,other,***
through_balls,0.6483401558978839,3.040382083148701e-13,0.6483401558978839,creativity,***
goalkeeper_long_passes_attempted,-0.6384372496942525,8.954887679981615e-13,0.6384372496942525,other,***
short_pass_completion_rate,0.620576897319049,5.70977011613338e-12,0.620576897319049,passing,***
aerial_duels_lost,-0.6142818277651969,1.0670307530533914e-11,0.6142818277651969,physical_duels,***
launch_percentage,-0.6017417974394418,3.560959791290777e-11,0.6017417974394418,other,***
goal_kick_launch_percentage,-0.6007224375471428,3.918475126997923e-11,0.6007224375471428,other,***
clearances,-0.599325685798086,4.4649087051234965e-11,0.599325685798086,defending,***
medium_pass_completion_rate,0.5875037963654136,1.314988326720286e-10,0.5875037963654136,passing,***
tackles_def_third,-0.5606679801500195,1.3078712893731337e-09,0.5606679801500195,defending,***
shots_blocked,-0.5568206351994723,1.7881488891640623e-09,0.5568206351994723,attacking_output,***
sca_take_on,0.5549338968929541,2.08156526541711e-09,0.5549338968929541,creativity,***
goal_kick_average_length,-0.5510727942195944,2.8323971351638686e-09,0.5510727942195944,other,***
shot_accuracy,0.5389659698746223,7.2570067699148925e-09,0.5389659698746223,attacking_output,***
tackles_plus_interceptions,-0.5386594324684928,7.428389138984206e-09,0.5386594324684928,defending,***
interceptions,-0.5324692561904681,1.184275329936473e-08,0.5324692561904681,defending,***
goalkeeper_long_passes_completed,-0.5287146793304773,1.564380810546218e-08,0.5287146793304773,other,***
penalty_kicks_won,0.518768440352008,3.21799385671084e-08,0.518768440352008,other,***
blocks,-0.48550258513323713,3.0583907502197243e-07,0.48550258513323713,defending,***
average_pass_length,-0.4723889093954033,6.972665409134044e-07,0.4723889093954033,other,***
tackles_att_third,0.4387477124939684,4.9699939398834875e-06,0.4387477124939684,defending,***
average_shot_distance,-0.43629167696123927,5.690386496249472e-06,0.43629167696123927,attacking_output,***
aerial_duels_won,-0.43573867335842975,5.865635881434578e-06,0.43573867335842975,physical_duels,***
aerial_duel_success_rate,0.39585393611083985,4.5699732480128605e-05,0.39585393611083985,physical_duels,***
touches_def_penalty,-0.39542550436749846,4.665396968410064e-05,0.39542550436749846,possession,***
long_passes_completed,0.36423800680979546,0.0001949973258052533,0.36423800680979546,other,***
corner_kick_goals_against,-0.3587043167120781,0.00024763941703812557,0.3587043167120781,creativity,***
crosses_misc,0.35407731668578785,0.00030141982136923297,0.35407731668578785,creativity,***
crosses,0.35407731668578785,0.00030141982136923297,0.35407731668578785,creativity,***
tackles,-0.33368923201921813,0.0006919968189879552,0.33368923201921813,defending,***
fouls_committed,-0.3298475372845584,0.0008042887879690856,0.3298475372845584,physical_duels,***
blocked_passes,0.303426896131952,0.002149109165007989,0.303426896131952,defending,**
sca_defense,0.29191128548752915,0.0032099771331986944,0.29191128548752915,creativity,**
penalty_kicks_attempted_against,-0.2917638224742083,0.0032261760860068187,0.2917638224742083,other,**
penalty_kicks_conceded,-0.2917638224742083,0.0032261760860068187,0.2917638224742083,other,**
miscontrols,-0.28102406402121755,0.004622586372409602,0.28102406402121755,failures,**
challenges_attempted,-0.27744083302758255,0.005196218420817883,0.27744083302758255,other,**
penalty_kicks_against,-0.27107742267702284,0.006372546632012201,0.27107742267702284,other,**
penalty_goals_against,-0.27107742267702284,0.006372546632012201,0.27107742267702284,other,**
take_ons_attempted,0.27050763758858665,0.006488583715955249,0.27050763758858665,ball_progression,**
switches,0.27015682474551134,0.006560954159171022,0.27015682474551134,other,**
yellow_cards,-0.2643336705269947,0.007871118227179098,0.2643336705269947,other,**
defensive_actions_outside_penalty_area_per_90,0.26113026149955865,0.008686062137615528,0.26113026149955865,other,**
defensive_actions_outside_penalty_area,0.2610116952366012,0.008717600181637497,0.2610116952366012,other,**
outswinging_corners,0.2575812266340109,0.009674795492848835,0.2575812266340109,creativity,**
tackles_won,-0.2524674098999573,0.011272817768440361,0.2524674098999573,defending,*
challenges_lost,-0.24888734344214825,0.012524635076931755,0.24888734344214825,other,*
goalkeeper_long_pass_accuracy,0.239799247082127,0.016260436222915342,0.239799247082127,other,*
take_ons_tackled_rate,-0.23573889404784173,0.018219312126289453,0.23573889404784173,ball_progression,*
sca_pass_dead,0.2333532705030964,0.019462563652344576,0.2333532705030964,creativity,*
throw_ins,-0.2219218669813614,0.026482238703588207,0.2219218669813614,other,*
inswinging_corners,0.22183952491319892,0.02653973855480852,0.22183952491319892,creativity,*
long_passes_attempted,-0.218271784750655,0.029135128580109748,0.218271784750655,other,*
passes_blocked,-0.20531895553390186,0.04043639862924436,0.20531895553390186,defending,*
challenge_tackles,-0.20397450320669613,0.04179518168834162,0.20397450320669613,defending,*
take_ons_successful,0.19723632671671723,0.04919091485370456,0.19723632671671723,ball_progression,*
free_kick_shots,0.19216355454974463,0.05544568994067373,0.19216355454974463,attacking_output,ns
dead_ball_passes,-0.18733593404197202,0.06199015317553583,0.18733593404197202,other,ns
red_cards,-0.18461145290284053,0.06595301066478909,0.18461145290284053,other,ns
crosses_stopped,-0.1817143192513902,0.07038999513127243,0.1817143192513902,creativity,ns
cross_stop_percentage,0.17896919342191211,0.07481368484491939,0.17896919342191211,creativity,ns
dispossessed,0.1684704283916864,0.0938318406430054,0.1684704283916864,failures,ns
free_kick_passes,0.15790952481990347,0.11662371748294763,0.15790952481990347,other,ns
own_goals,-0.14700338951359102,0.14442927890776325,0.14700338951359102,other,ns
own_goals_for,-0.14700338951359102,0.14442927890776325,0.14700338951359102,other,ns
penalty_kicks_missed_by_opponent,-0.14552141620420392,0.14856446990751412,0.14552141620420392,other,ns
